Título,Autores,Año,Journal,DOI,URL,Fuente
The Role of Artificial Intelligence and Machine Learning in Cardiovascular Imaging and Diagnosis,"Setareh Reza-Soltani, Laraib Fakhare Alam, Omofolarin Debellotte, Tejbir S Monga, Vaishali Raj Coyalkar, Victoria Clarice A Tarnate, Chioma Ugochinyere Ozoalor, S. Allam, Maham Afzal, Gunjan Kumari Shah, Manju Rai",2024,Cureus,10.7759/cureus.68472,https://www.semanticscholar.org/paper/95d78802af13149764138b62ceb76a261b33343d,Semantic Scholar
Applications and implementation of Generative Artificial Intelligence in cardiovascular imaging with a focus on ethical and legal considerations: what cardiovascular imagers need to know!,"Ahmed Marey, Kevin Christopher Serdysnki, Benjamin Killeen, Mathias Unberath, Muhammad Umair",2024,BJR|Artificial Intelligence,10.1093/bjrai/ubae008,https://www.semanticscholar.org/paper/0e8e3b2828235f4372d65a7e840d88b8162c62c7,Semantic Scholar
Revolutionizing Cardiac Diagnosis: An AI Algorithm for Heart Abnormality Detection in Medical Imaging- A Review of Current and Emerging Techniques,N. J. Camm,2024,Clinical Cardiology and Cardiovascular Interventions,10.31579/2641-0419/304,https://www.semanticscholar.org/paper/eca8dcb789c20306b88fd0df83837c3f016ffe4c,Semantic Scholar
Using Artificial Intelligence for Rheumatic Heart Disease Detection by Echocardiography: Focus on Mitral Regurgitation,"Kelsey Brown, Pooneh Roshanitabrizi, Joselyn Rwebembera, E. Okello, A. Beaton, M. Linguraru, Craig A. Sable",2024,Journal of the American Heart Association: Cardiovascular and Cerebrovascular Disease,10.1161/JAHA.123.031257,https://www.semanticscholar.org/paper/579917a051844cda8fecf8f60ed5d1fcb3274808,Semantic Scholar
Robust Medical Diagnosis: A Novel Two-Phase Deep Learning Framework for Adversarial Proof Disease Detection in Radiology Images.,"Sheikh Burhan Ul Haque, Aasim Zafar",2024,Journal of imaging informatics in medicine,10.1007/s10278-023-00916-8,https://www.semanticscholar.org/paper/fe889b8368bcd07a97439f55c49e43be1b0c711d,Semantic Scholar
The Role of Artificial Intelligence and Machine Learning in Cardiovascular Imaging and Diagnosis: Current Insights and Future Directions,"Maria Gabriela Cerdas, Sucharitha Pandeti, Likhitha Reddy, Inayat Grewal, Asiya Rawoot, Samia Anis, Jade Todras, Sami Chouihna, S. Salma, Yuliya Lysak, Saad Ahmed Khan",2024,Cureus,10.7759/cureus.72311,https://www.semanticscholar.org/paper/466d3fb9dcb72d1df38096c3739e3e4cd9652c44,Semantic Scholar
Screening and diagnosis of cardiovascular disease using artificial intelligence-enabled cardiac magnetic resonance imaging,"Y. Wang, Kai Yang, Yi Wen, Pengcheng Wang, Yuepeng Hu, Yongfan Lai, Yufeng Wang, Kankan Zhao, Siyi Tang, Angela Zhang, Huayi Zhan, Minjie Lu, Xiuyu Chen, Shujuan Yang, Z. Dong, Yining Wang, Hui Liu, Lei Zhao, Lu Huang, Yunling Li, Lianming Wu, Zixian Chen, Yi Luo, Dongbo Liu, Pengbo Zhao, Keldon Lin, Joseph C. Wu, Shihua Zhao",2024,Nature Medicine,10.1038/s41591-024-02971-2,https://www.semanticscholar.org/paper/84ae0899ec79049a2d3958edbd455f2a0db80ed4,Semantic Scholar
Artificial Intelligence in Adult Congenital Heart Disease: Diagnostic and Therapeutic Applications and Future Directions,"I. Antoun, Ali Nizam, Armia Ebeid, Mariya Rajesh, A. Abdelrazik, Mahmoud Eldesouky, Kaung Myat Thu, Joseph Barker, G. Layton, M. Zakkar, Mokhtar Ibrahim, Kassem Safwan, Radek M Dibek, Riyaz Somani, G. A. Ng, Aiden Bolger",2025,Reviews in Cardiovascular Medicine,10.31083/RCM41523,https://www.semanticscholar.org/paper/275608111273f84cd015b71adf0242634af1d635,Semantic Scholar
Review on Advent of Artificial Intelligence in Electrocardiogram for the Detection of Extra-Cardiac and Cardiovascular Disease,"S. Joy, K. Kumar, M. Palanivelan, D. Lakshmi, Mohamed Hamed",2023,IEEE Canadian Journal of Electrical and Computer Engineering,10.1109/ICJECE.2022.3228588,https://www.semanticscholar.org/paper/9c7d0cf4b1110e58b401007bae8d35c25183fb41,Semantic Scholar
Role of artificial intelligence and machine learning in cardiovascular disease diagnosis and management: a bibliometric analysis,"Pawan Kumar, Asmitha Bhateja, Ankur Gupta",2023,The Evidence,10.61505/evidence.2023.1.1.9,https://www.semanticscholar.org/paper/1c67d21fca05669de278e778eceeb7cb0845019a,Semantic Scholar
Artificial intelligence model for prediction of cardiovascular disease: An empirical study,"B. Umar, Lukman Adewale Ajao, E. Dogo, F. J. Ajao, Micheal Atama",2023,Artificial Intelligence in Health,10.36922/aih.1746,https://www.semanticscholar.org/paper/79e9158277184f1a9f68b2312cc5e5dd18a91c1f,Semantic Scholar
PREDICTING CARDIAC ISSUES FROM ECHOCARDIOGRAMS: A LITERATURE REVIEW USING DEEP LEARNING AND MACHINE LEARNING TECHNIQUES,B.Arockia Valanrani,2024,international journal of advanced research in computer science,10.26483/ijarcs.v15i1.7040,https://www.semanticscholar.org/paper/e3f1a2a47633ee9f7f60879d75ba61b7e77e8ab4,Semantic Scholar
Deep Learning for Cardiovascular Disease Detection,"Shivan H. Hussein, N. Kako",2025,ARO-THE SCIENTIFIC JOURNAL OF KOYA UNIVERSITY,10.14500/aro.11971,https://www.semanticscholar.org/paper/8c5f446ceb9aa2853072e4062687d734bc095336,Semantic Scholar
An Intelligent Heart Disease Prediction Framework Using Machine Learning and Deep Learning Techniques,"Nasser Allheeib, Summrina Kanwal, Sultan Alamri",2023,Int. J. Data Warehous. Min.,10.4018/ijdwm.333862,https://www.semanticscholar.org/paper/26a11b33d1e8b5b0bacfa1a6d37fb10b402ef620,Semantic Scholar
AttGRU-HMSI: enhancing heart disease diagnosis using hybrid deep learning approach,"G. Rao, D. Ramesh, Vandana Sharma, Anurag Sinha, M. Hassan, Amir H. Gandomi",2024,Scientific Reports,10.1038/s41598-024-56931-4,https://www.semanticscholar.org/paper/ce4e20962b38038b192c3d6f7e228624d03279fb,Semantic Scholar
An early and accurate diagnosis and detection of the coronary heart disease using deep learning and machine learning algorithms,"Seda Demir, H. Selvitopi, Zülküf Selvitopi",2025,Journal of Big Data,10.1186/s40537-025-01283-7,https://www.semanticscholar.org/paper/25b8036e43642fa9701486d9916df3b64974a54e,Semantic Scholar
INCL: A Robust Design of Artificial Intelligence Assisted Learning based Cardiovascular Disease Detection using Improved Neural Classification Logic,"R. Rajeshwari, N. Gireesh, E. Pooja, K. Soundharya, V. Nanammal",2024,"2024 International Conference on Advances in Computing, Communication and Applied Informatics (ACCAI)",10.1109/ACCAI61061.2024.10602080,https://www.semanticscholar.org/paper/2071707b74aff7ecfb8f6ad8c0bc78aa16f37938,Semantic Scholar
MACHINE AND DEEP LEARNING TECHNIQUES FOR CARDIOVASCULAR DISEASE DETECTION,"Raza Naeem, Fakhar Ur Rehman, Fatima Haider, Amna Afzal, Arooj Naeem, Fawad Nasim",2024,Journal of Innovative Computing and Emerging Technologies,10.56536/jicet.v4i2.131,https://www.semanticscholar.org/paper/2245016aebfaebad32b147d77276010f27889abd,Semantic Scholar
Decoding 2.3 million ECGs: interpretable deep learning for advancing cardiovascular diagnosis and mortality risk stratification,"Lei Lu, Tingting Zhu, A. H. Ribeiro, Lei A. Clifton, Erying Zhao, Jiandong Zhou, A. L. Ribeiro, Yuanyuan Zhang, David A. Clifton",2024,European Heart Journal. Digital Health,10.1093/ehjdh/ztae014,https://www.semanticscholar.org/paper/3cd6720cd232330a5e634529982a42b72f576ebc,Semantic Scholar
Advancing Vascular Surgery: The Role Of Artificial Intelligence And Machine Learning In Managing Carotid Stenosis.,"A. Pias, Juliana Pereira-Macedo, Ana Marreiros, Nuno Antonio, J. Rocha-Neves",2024,Portuguese journal of cardiac thoracic and vascular surgery,10.48729/pjctvs.411,https://www.semanticscholar.org/paper/c678e94c40e7c310fc81602bde13cff4694d57c1,Semantic Scholar
Clinical applications of artificial intelligence based on cardiovascular disease,"Jialin Li, Mengyuan Zhu",2025,Applied and Computational Engineering,10.54254/2755-2721/2025.21224,https://www.semanticscholar.org/paper/db1d14e55d3eb79f31c529506b006a6df722305b,Semantic Scholar
"Artificial intelligence in the diagnosis and detection of heart failure: the past, present, and future.","Farah Yasmin, Syed Muhammad Ismail Shah, Aisha Naeem, S. Shujauddin, Adina Jabeen, Sana Kazmi, S. Siddiqui, Pankaj Kumar, S. Salman, S. A. Hassan, Chandrashekhar Dasari, A. Choudhry, A. Mustafa, S. Chawla, H. Lak",2021,Reviews in cardiovascular medicine,10.31083/j.rcm2204121,https://www.semanticscholar.org/paper/159a1efc9bd9590115def4842ab3e190ade7bdb3,Semantic Scholar
Machine Learning Based Cardiovascular Detection Approach,"Kishore Kanna R, A. Ambikapathy, Mohammed Brayyich, V. Reddy, Amandeep Nagpal",2023,"2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)",10.1109/UPCON59197.2023.10434576,https://www.semanticscholar.org/paper/20e5c31cf088e53ca7ab63a1efc24e9640c5e6e8,Semantic Scholar
Detection of Valvular Heart Diseases From PCG Signals Using Machine and Deep Learning Models: A Review,"Ayappasamy Kannan, Manob Saikia, Sushant Kumar, S. Datta",2025,IEEE Access,10.1109/ACCESS.2025.3583263,https://www.semanticscholar.org/paper/5dc81c1c4aa5a1acf5800075cd94edd5d9d409c8,Semantic Scholar
Heart Disease Prediction Using Novel Ensemble and Blending Based Cardiovascular Disease Detection Networks: EnsCVDD-Net and BlCVDD-Net,"Hira Khan, Nadeem Javaid, Tariq Bashir, M. Akbar, N. Alrajeh, S. Aslam",2024,IEEE Access,10.1109/ACCESS.2024.3421241,https://www.semanticscholar.org/paper/36b88b93447d30c211bf65a214cb4799f9469728,Semantic Scholar
Artificial intelligence-based classification of cardiac autonomic neuropathy from retinal fundus images in patients with diabetes: The Silesia Diabetes Heart Study,"K. Nabrdalik, Krzysztof Irlik, Y. Meng, Hanna Kwiendacz, Julia Piaśnik, Mirela Hendel, Paweł Ignacy, Justyna Kulpa, Kamil Kegler, Mikołaj Herba, Sylwia Boczek, Effendy Bin Hashim, Zhuangzhi Gao, Janusz Gumprecht, Yalin Zheng, G. Lip, U. Alam",2024,Cardiovascular Diabetology,10.1186/s12933-024-02367-z,https://www.semanticscholar.org/paper/1f52ed81e545ae832d743bebb2cb114006aa345b,Semantic Scholar
Artificial Intelligence-Based Algorithms for Early Detection of Heart Failure Using Electrocardiography and Echocardiography,"Ahmed Belal, Ayman Emara, Warda Abdelgani, Emad Asasfeh, Aruna Misir",2025,International Journal For Multidisciplinary Research,10.36948/ijfmr.2025.v07i04.53589,https://www.semanticscholar.org/paper/390a96efdef3b391f215ae30808efb4183b7ebf0,Semantic Scholar
"A PERCEPTIVE SURVEY ON THE PREDICTION OF DISEASE DIAGNOSIS USING MACHINE LEARNING, DEEP LEARNING AND ARTIFICIAL INTELLIGENCE",Femila K. V.,2025,international journal of advanced research in computer science,10.26483/ijarcs.v16i3.7271,https://www.semanticscholar.org/paper/000b7b5ffe89da08f5b1ae5c11fed3f7e2e83fc4,Semantic Scholar
A Novel Approach for Heart Disease prediction using Artificial Intelligence Techniques,Sathyavathy V,2024,"Proceedings of the 1st International Conference on Artificial Intelligence, Communication, IoT, Data Engineering and Security, IACIDS 2023, 23-25 November 2023, Lavasa, Pune, India",10.4108/eai.23-11-2023.2343179,https://www.semanticscholar.org/paper/fb0216f4af103f8aa4832e3ce4b599d4ca461052,Semantic Scholar
Experimental evaluation of artificial intelligence assisted heart disease prediction using deep learning principle,"Deepa S, Sripriya T, Radhika M, J. J",2023,The Scientific Temper,10.58414/scientifictemper.2023.14.4.32,https://www.semanticscholar.org/paper/9b128c54176bd3397b97c02e9cf9b35d7900c5b7,Semantic Scholar
Efficiency of Machine Learning (ML) Models and Medical Imaging in Disease Detection,"Amol Bhoite, V. C. Patil, Somanath D. Bhinge, P. A. Babu, Penta Kota Laxmi Bharat, Raghav Agrawal",2024,"2024 International Conference on Healthcare Innovations, Software and Engineering Technologies (HISET)",10.1109/HISET61796.2024.00073,https://www.semanticscholar.org/paper/1bb371733a34cedfacf26f10411885add5198128,Semantic Scholar
Enhancing Coronary Heart Disease Risk Prediction with Machine Learning and Deep Learning,"Mrs. P S H R Padmaja, Velpula Sudarshan, K. S. Babu, M. M. K. Lakshman, K. Akhilandeswari",2024,International Journal for Research in Applied Science and Engineering Technology,10.22214/ijraset.2024.61185,https://www.semanticscholar.org/paper/76f932b4486917e17bf572cc1043ad5b696873e5,Semantic Scholar
A Review on Early Detection and Classification of Heart Disease using Machine Learning Techniques,"Shailender Chaurasia, Megha Kamble",2024,Journal of Advances in Science and Technology,10.29070/jmr92f29,https://www.semanticscholar.org/paper/44c55058bc22ea50f5a3953e392f08aff5d96904,Semantic Scholar
Hybrid Pattern Extraction with Deep Learning-Based Heart Disease Diagnosis Using Echocardiogram Images,Nagashetteppa Biradar,2022,Int. J. Image Graph.,10.1142/s0219467823500249,https://www.semanticscholar.org/paper/184056cbdb9e2d8100f98accb6b19fefa62422e8,Semantic Scholar
Artificial Intelligence Applications in Cardiac CT Imaging for Ischemic Disease Assessment,"Gianluca G Siciliano, C. Onnis, Jaret Barr, M. Assen, C. D. De Cecco",2025,Echocardiography,10.1111/echo.70098,https://www.semanticscholar.org/paper/8db6b924fe3bf5b077c49f84ff9e047da78d827e,Semantic Scholar
Artificial Intelligence Based Diagnosis of Heart Disease Using ECG and Deep Neural Networks,"Giovanah Gogi, Santosh Gurung, A. Gegov, U. Kaymak, Farzad Arabikhan",2023,2023 IEEE Conference on Artificial Intelligence (CAI),10.1109/cai54212.2023.00069,https://www.semanticscholar.org/paper/0b2d8805065c04c0ef914dae910eab97d7520acb,Semantic Scholar
Value Creation Through Artificial Intelligence and Cardiovascular Imaging: A Scientific Statement From the American Heart Association,"Kate Hanneman, D. Playford, Damini Dey, M. van Assen, Domenico Mastrodicasa, Tessa S. Cook, J. Gichoya, Eric E Williamson, Geoffrey D Rubin",2024,Circulation,10.1161/CIR.0000000000001202,https://www.semanticscholar.org/paper/ef597b822958aff999d56e4614923fee01ca223a,Semantic Scholar
Detection of Cardiovascular Disease Using ECG Images in Machine Learning and Deep Learning,"Ms. K Jebima Jessy, Dr. G Manikandan, Ms. S. Hemalatha, Ms. Vilma Veronica",2024,International Journal of Scientific Research in Science and Technology,10.32628/ijsrst52411224,https://www.semanticscholar.org/paper/d7fe663ff4620faf10f0c569bc2c29214ef92690,Semantic Scholar
Artificial intelligence framework for heart disease classification from audio signals,"Sidra Abbas, Stephen Ojo, Abdullah Al Hejaili, Gabriel Avelino R. Sampedro, Ahmad S. Almadhor, M. Zaidi, Natalia Kryvinska",2024,Scientific Reports,10.1038/s41598-024-53778-7,https://www.semanticscholar.org/paper/ee559b6b097ed4884628a4603028393be5b205a5,Semantic Scholar
AI-Driven Predictive Analytics in Cardiovascular Diseases: Integrating Big Data and Machine Learning for Early Diagnosis and Risk Prediction,"Foluke Ekundayo, Hope Nyavor",2024,International Journal of Research Publication and Reviews,10.55248/gengpi.5.1224.3437,https://www.semanticscholar.org/paper/5b081410f738f5577b8efb3560474f854275649a,Semantic Scholar
A Review on Blood Disease Detection using Artificial Intelligence Techniques,"D. Gaikwad, Vivek Mahale, Ashok T. Gaikwad",2024,2024 IEEE International Conference on Big Data & Machine Learning (ICBDML),10.1109/ICBDML60909.2024.10577320,https://www.semanticscholar.org/paper/c103d77886242e1ccad15ab61ac604e80b7b8035,Semantic Scholar
"Artificial intelligence in Alzheimer's diagnosis: A comprehensive review of biomarkers, neuroimaging, and machine learning applications","O. Crețu, Marius Cocu, E. Popescu, Roxana Chiriță",2024,Bulletin of Integrative Psychiatry,10.36219/bpi.2024.4.08,https://www.semanticscholar.org/paper/ec0f2254751af6e1be6e32df651ab1ac6346ee4b,Semantic Scholar
Artificial Intelligence based Covid19 detection using CTScan and Chest X-Ray Images: Machine Learning and Deep Learning techniques,"G. G. Rajput, A. Alashetty",2023,Tuijin Jishu/Journal of Propulsion Technology,10.52783/tjjpt.v44.i3.2092,https://www.semanticscholar.org/paper/2187f1db5f0286eadccf2a841feaec8ef2265d32,Semantic Scholar
Automatic Diagnosis of Myocarditis Disease in Cardiac MRI Modality using Deep Transformers and Explainable Artificial Intelligence,"M. Jafari, A. Shoeibi, Navid Ghassemi, Jónathan Heras, A. Khosravi, Saiguang Ling, R. Alizadehsani, A. Beheshti, Yudong Zhang, Shui-hua Wang, J. Górriz, U. R. Acharya, Hamid Alinejad-Rokny",2022,ArXiv,10.48550/arXiv.2210.14611,https://www.semanticscholar.org/paper/d7e180bf88a42c67357ff97ef88063c74ed6fac1,Semantic Scholar
Diagnosis of heart disease using an advanced triple hybrid algorithm combining machine learning techniques,"Shokoofa Mostofi, S. Kordrostami, A. R. Refahi Sheikhani, Marzieh Faridi Masouleh, Soheil Shokri",2024,Journal of Modelling in Management,10.1108/jm2-11-2023-0278,https://www.semanticscholar.org/paper/f0dc085fca0677264ea8f1be70d581329531511b,Semantic Scholar
The Utility of Artificial Intelligence and Machine Learning in the Diagnosis of Takotsubo Cardiomyopathy: A Systematic Review,"Helen Huang, Francesco Perone, K. Leung, Irfan Ullah, Quinncy Lee, N. Chew, Tong Liu, G. Tse",2024,Heart and Mind,10.4103/hm.hm-d-23-00061,https://www.semanticscholar.org/paper/2d3a41a2fdcec0803d0b0a6aede3b0bca8227e58,Semantic Scholar
Smart E-Health System for Heart Disease Detection Using Artificial Intelligence and Internet of Things Integrated Next-Generation Sensor Networks,"Muhammad Shafiq, Changqing Du, Nasir Jamal, Junaid Hussain Abro, Tahir Kamal, Salman Afsar, Md. Solaiman Mia",2023,Journal of Sensors,10.1155/2023/6383099,https://www.semanticscholar.org/paper/58dc55718f9e9dbd42c9568d98d1ba18422f1d43,Semantic Scholar
Cardiac Disease Prediction: A Deep Learning Approach using Convolutional Neural Network,"Tanishq Soni, Deepali Gupta, Monica Dutta",2024,2024 IEEE 3rd World Conference on Applied Intelligence and Computing (AIC),10.1109/AIC61668.2024.10730898,https://www.semanticscholar.org/paper/b9fedf99daee9b40d04f7713d1d4c3c0e0d086af,Semantic Scholar
"Plant Leaf Disease Detection, Classification, and Diagnosis Using Computer Vision and Artificial Intelligence: A Review","Anuja Bhargava, Aasheesh Shukla, Om Prakash Goswami, Mohammed H. Alsharif, P. Uthansakul, M. Uthansakul",2024,IEEE Access,10.1109/ACCESS.2024.3373001,https://www.semanticscholar.org/paper/411108b1e44d0f4b8ba954d8123862b9d45ee4e2,Semantic Scholar
Enhancing cardiac disease detection via a fusion of machine learning and medical imaging,"Tao Yu, KeYue Chen",2025,Scientific Reports,10.1038/s41598-025-12030-6,https://www.semanticscholar.org/paper/cfa3dcf0811bf8aaf770eb630080596c1a0686dc,Semantic Scholar
Novel deep learning algorithm demonstrates strong performance for detection and quantification of breast arterial calcification and associates with cardiovascular disease,"V. Goel, W. Cameron, C. L. Tan, E. Spear, N. Sultana, S. Vasanthakumar, C. Yeong, E. Aldous, F. Collado-Mesa, C. Parghi, A. Watanabe, T. Marwick, N. Nerlekar",2024,European Heart Journal,10.1093/eurheartj/ehae666.3093,https://www.semanticscholar.org/paper/04c49fbe445784bebd495351d1c4f95744065cd0,Semantic Scholar
Enhancing Disease Detection with Machine and Deep Learning: Analyzing Chest X-rays for Pneumonia and Atelectasis Identification,"Joseph Joe Tharakan, Mithun Kanchan, Omkar S. Powar",2024,"2024 International Conference on Augmented Reality, Intelligent Systems, and Industrial Automation (ARIIA)",10.1109/ARIIA63345.2024.11051462,https://www.semanticscholar.org/paper/ef6f839cb8d93c9fb266fb43dbd9fa5be15349d8,Semantic Scholar
XAI-HD: an explainable artificial intelligence framework for heart disease detection,"Md. Alamin Talukder, Amira Samy Talaat, Mohsin Kazi, Ansam Khraisat",2025,Artificial Intelligence Review,10.1007/s10462-025-11385-6,https://www.semanticscholar.org/paper/87ac61da1519c367c967f53d6f5d4b1e096e601a,Semantic Scholar
AI- Based Heart Disease Detection Using Machine Learning,"Dr. Saravanan G, Brettlee Salomon N, Cibi S, Dharun T, Hari Krishnan P",2025,International Research Journal on Advanced Engineering Hub (IRJAEH),10.47392/irjaeh.2025.0129,https://www.semanticscholar.org/paper/1f52ff0c86400a0634ce38fab18478a365bb7525,Semantic Scholar
"Advancing Glaucoma Care: Integrating Artificial Intelligence in Diagnosis, Management, and Progression Detection","Yan Zhu, Rebecca J. Salowe, Caven Chow, Shuo Li, Osbert Bastani, Joan M. O’Brien",2024,Bioengineering,10.3390/bioengineering11020122,https://www.semanticscholar.org/paper/c7d9c9a1244a1931297a0ef5fea0b6768a5248fe,Semantic Scholar
Artificial Intelligence in Alzheimer’s Diagnosis: A Comparative Review of Machine Learning and Deep Learning Approaches,"T. Charanya, Marimuthu A, Nanditha S",2025,"2025 International Conference on Data Science, Agents & Artificial Intelligence (ICDSAAI)",10.1109/ICDSAAI65575.2025.11011613,https://www.semanticscholar.org/paper/49aa3a7ca022c1c6cd1d12d1702d18b584876426,Semantic Scholar
Deep learning-enhanced nuclear medicine SPECT imaging applied to cardiac studies,"Ioannis D. Apostolopoulos, N. Papandrianos, A. Feleki, S. Moustakidis, E. Papageorgiou",2023,EJNMMI Physics,10.1186/s40658-022-00522-7,https://www.semanticscholar.org/paper/24e2465cc147c0f3663786cad436c731310701e0,Semantic Scholar
Comparative analysis of classical artificial intelligence and deep learning models for atrial fibrillation detection in electrocardiograms,"D. Mota, F. N. B. Filho, E. B. Sousa, R. A. Chagas, E. M. Sassaki, M. Candoti, G. Kuster, J. H. Lopes",2024,Europace,10.1093/europace/euae102.583,https://www.semanticscholar.org/paper/649ae493991062ba26ed54edd085fb77a769fda4,Semantic Scholar
Innovative Integration of Deep Learning and Neural Networks in Heart Disease Prediction,"N. Saikiran, S. Indu, N. Reddy, G. Jashnavi, K. P. Kumar",2024,"2024 International Conference on Computational Intelligence for Security, Communication and Sustainable Development (CISCSD)",10.1109/CISCSD63381.2024.00032,https://www.semanticscholar.org/paper/5e9bd748fc05e9ffe30bca62db8a6bacb1c1459c,Semantic Scholar
Diagnostic accuracy of artificial intelligence models in detecting congenital heart disease in the second-trimester fetus through prenatal cardiac screening: a systematic review and meta-analysis,"L. D. Liastuti, Yosilia Nursakina",2025,Frontiers in Cardiovascular Medicine,10.3389/fcvm.2025.1473544,https://www.semanticscholar.org/paper/063f573161baba732630bf60fa858b15847ed3a7,Semantic Scholar
Artificial Intelligence-Derived Extracellular Volume Fraction for Diagnosis and Prognostication in Patients with Light-Chain Cardiac Amyloidosis,"MD In-Chang Hwang, MD PhD Eun Ju Chun, Pan Ki Kim, PhD Myeongju Kim, MD PhD Jiesuck Park, MD Hong-Mi Choi, MD PhD Yeonyee E. Yoon, MD PhD Goo-Yeong Cho, MD PhD Byoung Wook Choi",2024,,10.1101/2024.03.20.24304642,https://www.semanticscholar.org/paper/38a183ba53d50f936b3c3aab5ffd06966fc53167,Semantic Scholar
Artificial Intelligence-Enabled Smartwatch Used for the Detection of Idiopathic Ventricular Tachycardia: A Case Report,"Sumit Kumar, Arijita Banerjee",2023,Cureus,10.7759/cureus.42054,https://www.semanticscholar.org/paper/92faae8b6aa6cb42a9fecf45537175d360c1b844,Semantic Scholar
AUTOMATED CARDIAC DISEASE PREDICTION AND SEVERITY DETECTION USING IMAGE SEGMENTATION AND DEEP LEARNING,"Bhawna, Anupama, Gaurav, Bhavya Sharma, Shikha Taneja",2024,International Journal of Research -GRANTHAALAYAH,10.29121/granthaalayah.v12.i8.2024.6097,https://www.semanticscholar.org/paper/b3fa8d63a802bcafddd9d1e579bb2d4f53286d58,Semantic Scholar
A Novel Analysis and Detection of Autism Spectrum Disorder in Artificial Intelligence Using Hybrid Machine Learning,"S. A, R. Prabha, J. Nithyashri, S. P., I. Thamarai, S. S",2023,2023 International Conference on Innovative Data Communication Technologies and Application (ICIDCA),10.1109/ICIDCA56705.2023.10099683,https://www.semanticscholar.org/paper/db83b482e9c00bc694a84b97263f028150bcb089,Semantic Scholar
